video_id,title,language,categories,gt_usable,is_special,zero_edge_gt,gt_nodes,gt_edges,has_standard,has_parsimonious,in_paired_comparison,study_eligible,std_svc_f1,std_edge_f1,pars_svc_f1,pars_edge_f1
-3lnf5lzsH0,MakeMyTrip: Building Next Generation SOC,English,data_ingestion,True,False,False,13,16,True,True,True,True,80.0,32.0,95.65,64.29
-S-R7MWRpaI,mimik: Hybrid Edge Cloud Leveraging AWS to Support Edge Microservice Mesh,English,"data_ingestion,interactive",True,False,False,8,11,True,True,True,True,71.43,30.0,66.67,30.0
-ahWdCysMYw,Summit Technology Group: Building a Data Consumption Model for Multi-Tenant Applications,English,interactive,True,False,False,8,9,True,True,True,True,93.33,53.33,80.0,28.57
-kA0ahrhX3I,Oportun: Increasing the Accuracy of SensitiveData Discovery Using Amazon Macie,English,data_ingestion,True,False,False,9,8,True,True,True,True,92.31,50.0,71.43,46.15
-wLEkq21cvA,Versent: The Migration Factory,English,control,True,False,False,9,10,True,True,True,True,66.67,45.45,66.67,47.62
07lfvavMdfU,Levels Beyond: Digital Content Orchestration,English,data_ingestion,True,False,False,10,14,True,True,True,True,94.74,69.57,90.0,72.0
0F7KDLz-kIQ,"Zigbang: A Hybrid API of Serverless and ECS, Infra as a Code via CDK",English,interactive,True,False,False,13,28,True,True,True,True,90.91,63.64,83.33,57.78
0JxJpNjI9Y0,The Washington Post: Building a Content Management Platform with Speed at its Core,English,interactive,True,False,False,9,17,True,True,True,True,80.0,44.44,80.0,51.85
0gNMEyei-co,Infor: Ingest and Analyze Millions of Application Events Daily for Compliance Violations,English,data_ingestion,True,False,False,9,13,True,True,True,True,82.35,75.0,77.78,75.0
0wnNlOg42dc,Spyne.AI: High-Quality Product Visuals at Scale with AI on AWS,English,compute_intensive,True,False,False,8,12,True,True,True,True,94.12,76.19,94.12,76.19
1SwHH7qQ6Pc,Advance Local: Automating CrossTeam Collaboration with AWS Lambda,English,"interactive,control",True,False,False,10,13,False,False,False,False,,,,
1VcpCVe3tLQ,Swimming Australia: Going for Gold at the Olympics with Machine Learning,English,"data_ingestion,compute_intensive,interactive",True,False,False,12,13,False,False,False,False,,,,
1ZLiRT0C2Yo,T-Mobile: Standardized Container-Based Architecture That can be Automatically Deployed Anywhere,English,control,False,False,True,6,0,True,True,True,False,92.31,0.0,92.31,0.0
1aYoIZvabbk,OLX Autos: Building Developer Platform for Rapid Global Expansion,English,control,True,False,False,6,5,True,True,True,True,83.33,72.73,92.31,66.67
1kWxymroGeE,OutSystems: Decomposing a Data Monolith for Scale and MultiTenancy,English,control,False,False,False,5,4,True,True,True,False,90.91,66.67,90.91,53.33
1tGmQd0yOzE,Whirlpool: Resilient SAP on AWS,English,control,False,False,False,8,12,True,True,True,False,75.0,35.29,75.0,23.53
1xLjtJnfZes,MATTR: Building Digital Trust at Scale,English,interactive,True,False,False,8,6,True,True,True,True,80.0,54.55,80.0,54.55
2L0m28ZLmtE,Sanofi with TeamWork: OnDemand Data Science Environment,English,compute_intensive,True,False,False,13,11,True,True,True,True,96.0,69.57,96.0,86.96
2XVgpMwY5iE,Keen Eye: Building Deep Learning Models for Digital Pathology Image Analysis,English,data_ingestion,True,False,False,7,12,True,True,True,True,71.43,45.45,71.43,47.62
2e3vOxsHekE,Mueller Water Products: A Water Intelligent Platform,English,data_ingestion,True,False,False,6,6,True,True,True,True,83.33,72.73,83.33,60.0
2f_NYiPJQt4,Appway: Securing Sensitive Banking Workflows with Isolated Architecture on AWS,English,control,True,False,False,10,9,True,True,True,True,95.24,77.78,95.24,40.0
37T7Nd8pL-c,Docebo: How to Create Compelling e-Learning Videos from Documents via AI ML Services,English,control,True,False,False,8,12,True,True,True,True,92.31,42.11,85.71,40.0
