run_type,video_id,gt_name,categories,gen_nodes,gt_nodes,node_count_ratio,svc_precision,svc_recall,svc_f1,ms_precision,ms_recall,ms_f1,gen_edges,gt_edges,edge_precision,edge_recall,edge_f1,edge_type_accuracy,gen_workflows,gt_workflows,services_missing,services_hallucinated
Standard (data/graphs),1SwHH7qQ6Pc,Advance Local: Automating CrossTeam Collaboration with AWS Lambda,"interactive,control",10,10,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,7,13,0.8571,0.4615,0.6000,0.5000,3,5,,
Standard (data/graphs),62E9ggjGS8I,DISH Network: Building a Self-Service Portal to Create Multiple Accounts at Scale,other,7,7,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,4,9,1.0000,0.4444,0.6154,0.2500,3,3,,
Standard (data/graphs),66h7DrOEF5k,ABEJA: Building a Machine Learning Platform that Fully Utilizes Container Technologies Japanese,compute_intensive,12,9,1.3333,1.0000,1.0000,1.0000,0.7500,1.0000,0.8571,10,9,0.9000,1.0000,0.9474,0.7778,3,3,,
Standard (data/graphs),6YkguepAQuQ,Aetion: Deploy Applications  Provision Cloud Resources with AWS Developer Tools,control,10,10,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,4,10,1.0000,0.4000,0.5714,0.2500,1,3,,
Standard (data/graphs),7dtomip_VXc,Akatsuki: Building Stable and Scalable Large Scale Game Servers with Amazon ECS (Japanese),interactive,8,8,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,8,11,0.8750,0.6364,0.7368,0.5714,2,2,,
Standard (data/graphs),8TExnSvZqt0,AxiomSL's RegCloud®️: Secure & Scalable Risk & Regulatory Reporting on AWS,other,11,11,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,4,0,0.0000,0.0000,0.0000,0.0000,4,0,,
Standard (data/graphs),8s0wGRkiDrw,Mobilewalla: S3 Access Monitoring Using ML,data_ingestion,7,5,1.4000,1.0000,1.0000,1.0000,0.7143,1.0000,0.8333,6,4,0.6667,1.0000,0.8000,0.5000,2,2,,
Standard (data/graphs),9Cg81Xgg7LQ,Pushpay Holdings Ltd : Strangling a Monolithic Application While Moving to Microservices on AWS,other,7,7,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,7,7,0.7143,0.7143,0.7143,0.6000,3,2,,
Standard (data/graphs),A4Lfk1Zz1dE,Spot.io: Optimizing Cloud Infrastructure Through Secure Cost Aware Automation,control,8,8,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,7,5,0.1429,0.2000,0.1667,1.0000,2,3,,
Standard (data/graphs),AzM_d7ZvzUE,Epsagon: Automatically Tracing and Analyzing Billions of AWS Serverless Events,data_ingestion,11,11,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,11,20,1.0000,0.5500,0.7097,0.5455,3,6,,
Standard (data/graphs),BX1K8x1lVLc,"Love, Bonito: Achieving Scalability Using Magento with Kubernetes",interactive,8,8,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,8,14,1.0000,0.5714,0.7273,0.8750,3,1,,
Standard (data/graphs),BlCXEMp_lqY,Vizio: Smart TV Analytics at Scale,data_ingestion,6,6,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,5,9,1.0000,0.5556,0.7143,1.0000,1,3,,
Standard (data/graphs),Cgv0kfp_6xQ,Snap: Journey of a Snap on Snapchat Using AWS,interactive,11,10,1.1000,1.0000,1.0000,1.0000,0.9091,1.0000,0.9524,10,14,1.0000,0.7143,0.8333,0.8000,2,2,,
Standard (data/graphs),DkPPwq517aE,Enimbos:Creating a Saving Costs Management Platform using Serverless Compute Engine on AWS Span ,"interactive,control",10,10,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,9,14,1.0000,0.6429,0.7826,0.5556,3,5,,
Standard (data/graphs),E68ufJOduio,"Cohesity: Helios! Learn How to Back-up, Scale, Secure and Simplify Your Workloads on AWS",other,9,9,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,9,0,0.0000,0.0000,0.0000,0.0000,3,0,,
Standard (data/graphs),E8wYXtvGy5k,Freightways: Delivering 50M packages with Serverless Tracking Solution,interactive,10,10,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,9,12,1.0000,0.7500,0.8571,0.5556,2,2,,
Standard (data/graphs),GoziWpmFCS0,iRobot: Serverless Data Cataloging for Data Scientists,data_ingestion,7,4,1.7500,1.0000,1.0000,1.0000,0.5714,1.0000,0.7273,8,2,0.2500,1.0000,0.4000,1.0000,4,1,,
Standard (data/graphs),HcmEFZukA-Y,7-Eleven: Innovation with Serverless for Cash-Based Digital Wallet,interactive,9,9,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,12,15,1.0000,0.8000,0.8889,0.7500,4,5,,
Standard (data/graphs),IV3KuMGVNXI,Deep Instinct: Collecting RT Statistics and Applying RT Decisions with Lambda@Edge,interactive,7,7,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,6,17,0.8333,0.2941,0.4348,0.8000,2,2,,
Standard (data/graphs),JG5p-i8Cr2E,ZS Associates: Building a SelfService Enterprise Data Engineering Platform,control,11,11,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,14,24,0.8571,0.5000,0.6316,0.3333,3,2,,
Standard (data/graphs),JcHSFIZMYHc,CleverTap: Building a Fully Version Controlled Infrastructure as Code on AWS,control,8,8,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,8,9,1.0000,0.8889,0.9412,0.2500,1,3,,
Standard (data/graphs),KiH7hVJKzns,ADP: Unmatched People Data for Extraordinary Outcomes,interactive,8,8,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,9,14,0.8889,0.5714,0.6957,0.7500,3,2,,
Standard (data/graphs),Q6r_QbYXFpg,SynchroNet: Extending User Automation and Amazon WorkSpaces Provisioning with AWS Step Functions,other,11,11,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,9,9,1.0000,1.0000,1.0000,0.4444,3,2,,
Standard (data/graphs),Qi9soN5bpU4,ITTStar: AIpowered Search and Discovery of Luxury Goods for Retailers and Wholesalers,interactive,8,8,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,7,10,1.0000,0.7000,0.8235,0.5714,2,1,,
Standard (data/graphs),QnmmTIYZxNI,Adobe: Simplifying Networking Across Thousands of AWS Accounts with AWS Transit Gateway LIVE,other,8,8,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,5,6,0.8000,0.6667,0.7273,1.0000,2,2,,
Standard (data/graphs),Qz8uXtDC1bY,Fundbox: Simplifying Ways to Query and Analyze Data by Different Personas - Go Serverless!,compute_intensive,15,14,1.0714,1.0000,1.0000,1.0000,0.9333,1.0000,0.9655,15,17,0.8667,0.7647,0.8125,0.1538,4,6,,
Standard (data/graphs),RCWl0rf8lpE,Cognizant: Beyond Prediction with a Unique Evolutionary AI Platform,compute_intensive,7,7,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,7,10,1.0000,0.7000,0.8235,0.2857,2,4,,
Standard (data/graphs),U8xlmurP-6o,Simplex: Building a Scalable Serverless Cryptocurrency Platform,interactive,12,10,1.2000,1.0000,1.0000,1.0000,0.8333,1.0000,0.9091,10,10,0.8000,0.8000,0.8000,0.5000,3,4,,
Standard (data/graphs),Wur1GWB03hk,Lockheed Martin: Using Alexa for Business to Securely Access Program Management Status,interactive,9,9,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,9,14,1.0000,0.6429,0.7826,0.4444,3,4,,
Standard (data/graphs),Xi6tDqctLsY,Salary Overflow: Bringing Transparency to Tech Salaries,interactive,8,8,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,8,16,1.0000,0.5000,0.6667,0.6250,4,2,,
Standard (data/graphs),YlGUMhls9ZA,Veolia: Serverless Solution for Cost Optimization on AWS (French),compute_intensive,14,14,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,14,18,1.0000,0.7778,0.8750,0.3571,4,5,,
Standard (data/graphs),YrEc8oMIxDs,Thales: Automate Security Threat Detection and Remediation with AWS Security Services French,data_ingestion,10,10,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,9,14,1.0000,0.6429,0.7826,0.0000,2,5,,
Standard (data/graphs),ZA_0RMeeWpY,Dome9: CloudBots Make Compliance Easy,compute_intensive,8,5,1.6000,1.0000,1.0000,1.0000,0.6250,1.0000,0.7692,7,8,0.7143,0.6250,0.6667,0.2000,1,2,,
Standard (data/graphs),ZNt9qI_LlPk,Autodesk Data Platform: Product Usage RealTime Analytics Using an Event Driven Architecture,data_ingestion,6,5,1.2000,1.0000,1.0000,1.0000,0.8333,1.0000,0.9091,9,10,0.6667,0.6000,0.6316,0.5000,2,2,,
Standard (data/graphs),ZsabzCVjkIk,Mikamai: Standard Architectures for Modern Web Applications Italian,control,10,10,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,7,8,1.0000,0.8750,0.9333,0.7143,2,6,,
Standard (data/graphs),aN26J-7q9Hw,Qonto: How to Leverage Serverless Technologies to Quickly Achieve PCIDSS Compliance French,control,10,10,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,11,13,0.6364,0.5385,0.5833,0.8571,2,2,,
Standard (data/graphs),amh7nzl32v4,Melco Resorts & Entertainment: Serverless Architecture Pattern for Melco Club Mobile App,interactive,8,8,1.0000,1.0000,1.0000,1.0000,0.8750,0.8750,0.8750,7,14,0.8571,0.4286,0.5714,0.5000,2,1,,
Standard (data/graphs),asZIXK7V-U4,Ounass: Building a Scalable Recommender Architecture Powered by the Word2vec Algorithm,data_ingestion,10,10,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,13,16,1.0000,0.8125,0.8966,0.4615,2,2,,
Standard (data/graphs),az-C2c33trQ,Adikteev: ROI Analysis of Advertising Campaigns From Data Ingestion to Prediction Dashboards,data_ingestion,8,8,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,9,17,1.0000,0.5294,0.6923,0.8889,3,3,,
Standard (data/graphs),bikXzsVihF4,United Airlines: How to Use AWS Backup to Protect Data from Ransomware Events,other,8,7,1.1429,1.0000,1.0000,1.0000,0.8750,1.0000,0.9333,7,10,0.7143,0.5000,0.5882,0.2000,2,2,,
Standard (data/graphs),c2TGPlvAHLs,NuData Security: Identity Validation with Amazon SageMaker,"compute_intensive,interactive",6,6,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,5,5,0.8000,0.8000,0.8000,0.5000,2,1,,
