Etiqueta_Asignada,Texto_Original_del_Humano
ThirdParty,Name: 'Legacy On-premise System' | Notes: 'NAME: Legacy On-premise System'
ThirdParty,Name: 'Snowflake' | Notes: 'NAME: Snowflake'
ThirdParty,Name: 'Multiple Data Sources' | Notes: 'NAME: Multiple Data Sources'
ThirdParty,Name: 'Arango DB' | Notes: 'NAME: Arango DB'
ThirdParty,Name: 'Scheduler where tasks are managed by customer' | Notes: 'NAME: Scheduler where tasks are managed by customer'
ThirdParty,Name: 'Systems Manager (invokes a lot of lambdas)' | Notes: 'NAME: Systems Manager (invokes a lot of lambdas)'
ThirdParty,"Name: 'Neo4j, corelation engine' | Notes: 'NAME: Neo4j, corelation engine'"
ThirdParty,Name: 'SAP' | Notes: 'NAME: SAP'
ThirdParty,Name: 'Okta' | Notes: 'NAME: Okta'
ThirdParty,"Name: 'unspecified AWS database services' | Notes: 'NOTES: database to cache videos metadata
NAME: unspecified AWS database services'"
ThirdParty,Name: 'Shard Service' | Notes: 'NAME: Shard Service'
ThirdParty,Name: 'inhouse serverless tool.' | Notes: 'NAME: inhouse serverless tool.'
ThirdParty,Name: 'CMS' | Notes: 'NAME: CMS'
ThirdParty,Name: 'DB to store POS data' | Notes: 'NAME: DB to store POS data'
ThirdParty,Name: 'NGINX' | Notes: 'NAME: NGINX'
ThirdParty,Name: 'GreenGrass' | Notes: 'NAME: GreenGrass'
ThirdParty,Name: 'Flink' | Notes: 'NAME: Flink'
ThirdParty,Name: 'OpenId Authentication' | Notes: 'NAME: OpenId Authentication'
ThirdParty,"Name: 'various data sources, social media, web crawling' | Notes: 'NAME: various data sources, social media, web crawling'"
ThirdParty,Name: 'Glacier' | Notes: 'NAME: Glacier'
ThirdParty,Name: 'Imagery process (into three files per well pad)' | Notes: 'NAME: Imagery process (into three files per well pad)'
ThirdParty,Name: 'MySQL' | Notes: 'NAME: MySQL'
ThirdParty,Name: 'Non Production Environment' | Notes: 'NAME: Non Production Environment'
ThirdParty,Name: 'fluendbit' | Notes: 'NAME: fluendbit'
ThirdParty,Name: 'DB to store Ecomm data' | Notes: 'NAME: DB to store Ecomm data'
ThirdParty,Name: 'On-premise data center' | Notes: 'NAME: On-premise data center'
ThirdParty,Name: 'AmazonManagedBlockchain' | Notes: 'NAME: AmazonManagedBlockchain'
ThirdParty,Name: 'company data' | Notes: 'NAME: company data'
ThirdParty,Name: 'Dashboard' | Notes: 'NAME: Dashboard'
ThirdParty,Name: 'Salesforce' | Notes: 'NAME: Salesforce'
ThirdParty,Name: 'BitBucket' | Notes: 'NAME: BitBucket'
ThirdParty,Name: 'Mongodb' | Notes: 'NAME: Mongodb'
