video_id,title,is_valid_evaluation,classification_status,gt_nodes,gt_edges,std_svc_f1,pars_svc_f1,svc_f1_diff,std_edge_f1,pars_edge_f1,edge_f1_diff,better_model_svc,better_model_edge
-wLEkq21cvA,Versent: The Migration Factory,True,Usable Evaluation,9,10,1.0000,1.0000,0.0000,1.0000,0.8000,-0.2000,Tie,Standard
6YkguepAQuQ,Aetion: Deploy Applications  Provision Cloud Resources with AWS Developer Tools,True,Usable Evaluation,10,10,1.0000,1.0000,0.0000,0.5714,0.3529,-0.2185,Tie,Standard
8TExnSvZqt0,AxiomSL's RegCloud®️: Secure & Scalable Risk & Regulatory Reporting on AWS,False,Invalid Ground Truth,11,0,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,Tie,Tie
Cgv0kfp_6xQ,Snap: Journey of a Snap on Snapchat Using AWS,True,Usable Evaluation,10,14,1.0000,1.0000,0.0000,0.7407,0.8333,0.0926,Tie,Parsimonious
Kebb0LOVC28,Openfit: ChatOps with Slack and AWS Lambda,True,Usable Evaluation,9,21,1.0000,,,0.4211,,,Standard Only,Standard Only
QnmmTIYZxNI,Adobe: Simplifying Networking Across Thousands of AWS Accounts with AWS Transit Gateway LIVE,False,Invalid Ground Truth,8,6,1.0000,1.0000,0.0000,0.7273,0.3636,-0.3637,Tie,Standard
-3lnf5lzsH0,MakeMyTrip: Building Next Generation SOC,True,Usable Evaluation,13,16,0.9565,0.7368,-0.2197,0.3871,0.2400,-0.1471,Standard,Standard
6EUknQqaV1w,CloudHealth by VMware: Secure State. Manages Over 50M Assets from Billions of Events on AWS,True,Usable Evaluation,9,11,0.9333,0.8571,-0.0762,0.8333,0.7273,-0.1060,Standard,Standard
Felt-hOU6kU,Xero: Building a Scalable Self-Service Portal for Thousands of Developers Provisioning Resources,True,Usable Evaluation,7,4,0.9231,0.8571,-0.0660,0.6667,0.6667,0.0000,Standard,Tie
2L0m28ZLmtE,Sanofi with TeamWork: OnDemand Data Science Environment,True,Usable Evaluation,13,11,0.9167,0.9600,0.0433,0.6087,0.8696,0.2609,Parsimonious,Parsimonious
07lfvavMdfU,Levels Beyond: Digital Content Orchestration,True,Usable Evaluation,10,14,0.9000,1.0000,0.1000,0.6667,0.8000,0.1333,Parsimonious,Parsimonious
Ly_UhX3LCCs,AWS Solutions: Simple and Secure Media Exchange on AWS,True,Usable Evaluation,7,7,0.8889,,,0.2353,,,Standard Only,Standard Only
Pc7_uOdlGKo,Panasonic Avionics: Weather Data and ML Models Improve In-Flight Entertainment Customer Satisfaction,True,Usable Evaluation,9,9,0.8750,,,0.5000,,,Standard Only,Standard Only
-kA0ahrhX3I,Oportun: Increasing the Accuracy of SensitiveData Discovery Using Amazon Macie,True,Usable Evaluation,9,8,0.8571,0.8571,0.0000,0.6667,0.5556,-0.1111,Tie,Standard
1aYoIZvabbk,OLX Autos: Building Developer Platform for Rapid Global Expansion,True,Usable Evaluation,6,5,0.8571,0.9231,0.0660,0.7143,0.6667,-0.0476,Parsimonious,Standard
GoziWpmFCS0,iRobot: Serverless Data Cataloging for Data Scientists,False,Invalid Ground Truth,4,2,0.8571,0.7500,-0.1071,0.1667,0.3077,0.1410,Standard,Parsimonious
NfUwtK8ALtw,MX Player: Achieving Massive Scalability Using Amazon EKS with Spot Instances,True,Usable Evaluation,9,16,0.8571,,,0.7742,,,Standard Only,Standard Only
wjtSHyENv0I,"Main Street America Insurance: The Independent Agent Portal, Breaking up the Monolith",True,Usable Evaluation,8,14,0.8571,0.8571,0.0000,0.6667,0.4762,-0.1905,Tie,Standard
OQKOHNtyz3E,Vodafone NZ: Data Driven Omni Channel Contact Center via Automation and Continuous Improvement,True,Usable Evaluation,11,24,0.8421,,,0.5238,,,Standard Only,Standard Only
2e3vOxsHekE,Mueller Water Products: A Water Intelligent Platform,True,Usable Evaluation,6,6,0.8333,0.8333,0.0000,0.6000,0.6000,0.0000,Tie,Tie
D9qTotVJYss,HBO Max: Using Canaries for Outside-in Validation,True,Usable Evaluation,6,10,0.8333,0.7692,-0.0641,0.4211,0.5000,0.0789,Standard,Parsimonious
AS2JeM2FUzE,Intellect Design Arena: Insurance Risk Assessment with Intellect FABRIC Data Services,True,Usable Evaluation,9,12,0.8235,0.8889,0.0654,0.5217,0.7619,0.2402,Parsimonious,Parsimonious
H_S7CxtHgSM,Raiffeisen Bank International: Automated Integration of OnPremises Key Management with AWS KMS,True,Usable Evaluation,11,12,0.8235,,,0.4828,,,Standard Only,Standard Only
0F7KDLz-kIQ,"Zigbang: A Hybrid API of Serverless and ECS, Infra as a Code via CDK",True,Usable Evaluation,13,28,0.8182,0.8696,0.0514,0.3750,0.6222,0.2472,Parsimonious,Parsimonious
JiWHomdh1oI,Datacoral: Using Serverless to Create Data Pipelines,True,Usable Evaluation,7,11,0.8000,,,0.7273,,,Standard Only,Standard Only
1xLjtJnfZes,MATTR: Building Digital Trust at Scale,True,Usable Evaluation,8,6,0.8000,0.8000,0.0000,0.5455,0.6667,0.1212,Tie,Parsimonious
5EmA67lSJEs,Extreme Reach: The AdBridge Platform on AWS Handles 80%+ of all Commercials in the US,True,Usable Evaluation,11,20,0.8000,0.8000,0.0000,0.4375,0.4375,0.0000,Tie,Tie
5f3z1Z_9BJA,Capgemini: Refactoring a Data Warehouse to Amazon Redshift,True,Usable Evaluation,11,17,0.8000,0.8571,0.0571,0.3750,0.7143,0.3393,Parsimonious,Parsimonious
PgeQufaQy7I,"MindTickle: Building a Secure, Automated, Multi-Region Architecture on AWS",True,Usable Evaluation,8,8,0.8000,,,0.7143,,,Standard Only,Standard Only
Yju3yReAQtc,Fortinet Uses AWS Serverless to Provide a Highly Available ControlPlane for their FortiWeb CloudWAF,True,Usable Evaluation,7,7,0.8000,,,0.4000,,,Standard Only,Standard Only
7wBOFcP1HwA,Seera Group: Transforming Online Travel Booking with Microservices (Arabic),True,Usable Evaluation,10,10,0.7778,0.7368,-0.0410,0.4444,0.4444,0.0000,Standard,Tie
GJ1So_pbZWk,Taysols: Next Best Offer Recommendation System using Amazon SageMaker,True,Usable Evaluation,9,23,0.7778,0.8235,0.0457,0.5263,0.4848,-0.0415,Parsimonious,Standard
LxeSC3-xMlk,St. Louis University: Using Amazon Lex to Answer Students' Questions Through Alexa and a Mobile App,True,Usable Evaluation,8,15,0.7778,,,0.4865,,,Standard Only,Standard Only
5vR5aN_xdI0,Splunk: Data at Scale by Decoupling Compute and Storage LIVE,True,Usable Evaluation,9,10,0.7692,0.9231,0.1539,0.5000,0.5556,0.0556,Parsimonious,Parsimonious
Jkx6kVbDpL4,Nielsen: Processing 55TB of Data Per Day with AWS Lambda,True,Usable Evaluation,13,17,0.7692,,,0.6000,,,Standard Only,Standard Only
