video_id,title,is_valid_evaluation,classification_status,gt_nodes,gt_edges,std_nodes,std_edges,std_svc_precision,std_svc_recall,std_svc_f1,std_edge_precision,std_edge_recall,std_edge_f1,std_edge_type_accuracy,pars_nodes,pars_edges,pars_svc_precision,pars_svc_recall,pars_svc_f1,pars_edge_precision,pars_edge_recall,pars_edge_f1,pars_edge_type_accuracy
-wLEkq21cvA,Versent: The Migration Factory,True,Usable Evaluation,9,10,9,10,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.3000,9,10,1.0000,1.0000,1.0000,0.8000,0.8000,0.8000,1.0000
6YkguepAQuQ,Aetion: Deploy Applications  Provision Cloud Resources with AWS Developer Tools,True,Usable Evaluation,10,10,10,4,1.0000,1.0000,1.0000,1.0000,0.4000,0.5714,0.2500,10,7,1.0000,1.0000,1.0000,0.4286,0.3000,0.3529,1.0000
8TExnSvZqt0,AxiomSL's RegCloud®️: Secure & Scalable Risk & Regulatory Reporting on AWS,False,Invalid Ground Truth,11,0,11,9,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,11,5,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000
Cgv0kfp_6xQ,Snap: Journey of a Snap on Snapchat Using AWS,True,Usable Evaluation,10,14,10,13,1.0000,1.0000,1.0000,0.7692,0.7143,0.7407,0.8000,11,10,1.0000,1.0000,1.0000,1.0000,0.7143,0.8333,0.8000
Kebb0LOVC28,Openfit: ChatOps with Slack and AWS Lambda,True,Usable Evaluation,9,21,11,17,1.0000,1.0000,1.0000,0.4706,0.3810,0.4211,0.5000,,,,,,,,,
QnmmTIYZxNI,Adobe: Simplifying Networking Across Thousands of AWS Accounts with AWS Transit Gateway LIVE,False,Invalid Ground Truth,8,6,8,5,1.0000,1.0000,1.0000,0.8000,0.6667,0.7273,1.0000,8,5,1.0000,1.0000,1.0000,0.4000,0.3333,0.3636,1.0000
-3lnf5lzsH0,MakeMyTrip: Building Next Generation SOC,True,Usable Evaluation,13,16,14,15,1.0000,0.9167,0.9565,0.4000,0.3750,0.3871,0.8333,9,9,1.0000,0.5833,0.7368,0.3333,0.1875,0.2400,1.0000
6EUknQqaV1w,CloudHealth by VMware: Secure State. Manages Over 50M Assets from Billions of Events on AWS,True,Usable Evaluation,9,11,11,13,0.8750,1.0000,0.9333,0.7692,0.9091,0.8333,0.8000,8,11,0.8571,0.8571,0.8571,0.7273,0.7273,0.7273,0.7500
Felt-hOU6kU,Xero: Building a Scalable Self-Service Portal for Thousands of Developers Provisioning Resources,True,Usable Evaluation,7,4,8,8,0.8571,1.0000,0.9231,0.5000,1.0000,0.6667,1.0000,9,8,0.7500,1.0000,0.8571,0.5000,1.0000,0.6667,1.0000
2L0m28ZLmtE,Sanofi with TeamWork: OnDemand Data Science Environment,True,Usable Evaluation,13,11,14,12,0.9167,0.9167,0.9167,0.5833,0.6364,0.6087,0.2857,14,12,0.9231,1.0000,0.9600,0.8333,0.9091,0.8696,1.0000
07lfvavMdfU,Levels Beyond: Digital Content Orchestration,True,Usable Evaluation,10,14,10,10,0.9000,0.9000,0.9000,0.8000,0.5714,0.6667,0.5000,10,11,1.0000,1.0000,1.0000,0.9091,0.7143,0.8000,0.9000
Ly_UhX3LCCs,AWS Solutions: Simple and Secure Media Exchange on AWS,True,Usable Evaluation,7,7,7,10,0.8000,1.0000,0.8889,0.2000,0.2857,0.2353,1.0000,,,,,,,,,
Pc7_uOdlGKo,Panasonic Avionics: Weather Data and ML Models Improve In-Flight Entertainment Customer Satisfaction,True,Usable Evaluation,9,9,9,11,0.8750,0.8750,0.8750,0.4545,0.5556,0.5000,1.0000,,,,,,,,,
-kA0ahrhX3I,Oportun: Increasing the Accuracy of SensitiveData Discovery Using Amazon Macie,True,Usable Evaluation,9,8,11,4,0.8571,0.8571,0.8571,1.0000,0.5000,0.6667,0.5000,11,10,0.8571,0.8571,0.8571,0.5000,0.6250,0.5556,0.6000
1aYoIZvabbk,OLX Autos: Building Developer Platform for Rapid Global Expansion,True,Usable Evaluation,6,5,8,9,0.7500,1.0000,0.8571,0.5556,1.0000,0.7143,0.2000,7,7,0.8571,1.0000,0.9231,0.5714,0.8000,0.6667,1.0000
GoziWpmFCS0,iRobot: Serverless Data Cataloging for Data Scientists,False,Invalid Ground Truth,4,2,8,10,0.7500,1.0000,0.8571,0.1000,0.5000,0.1667,1.0000,9,11,0.6000,1.0000,0.7500,0.1818,1.0000,0.3077,1.0000
NfUwtK8ALtw,MX Player: Achieving Massive Scalability Using Amazon EKS with Spot Instances,True,Usable Evaluation,9,16,9,15,0.8571,0.8571,0.8571,0.8000,0.7500,0.7742,1.0000,,,,,,,,,
wjtSHyENv0I,"Main Street America Insurance: The Independent Agent Portal, Breaking up the Monolith",True,Usable Evaluation,8,14,8,16,0.8571,0.8571,0.8571,0.6250,0.7143,0.6667,0.8000,8,7,0.8571,0.8571,0.8571,0.7143,0.3571,0.4762,1.0000
OQKOHNtyz3E,Vodafone NZ: Data Driven Omni Channel Contact Center via Automation and Continuous Improvement,True,Usable Evaluation,11,24,12,18,0.8000,0.8889,0.8421,0.6111,0.4583,0.5238,0.6364,,,,,,,,,
2e3vOxsHekE,Mueller Water Products: A Water Intelligent Platform,True,Usable Evaluation,6,6,6,4,0.8333,0.8333,0.8333,0.7500,0.5000,0.6000,1.0000,6,4,0.8333,0.8333,0.8333,0.7500,0.5000,0.6000,1.0000
D9qTotVJYss,HBO Max: Using Canaries for Outside-in Validation,True,Usable Evaluation,6,10,6,9,0.8333,0.8333,0.8333,0.4444,0.4000,0.4211,0.7500,7,6,0.7143,0.8333,0.7692,0.6667,0.4000,0.5000,0.7500
AS2JeM2FUzE,Intellect Design Arena: Insurance Risk Assessment with Intellect FABRIC Data Services,True,Usable Evaluation,9,12,8,11,0.8750,0.7778,0.8235,0.5455,0.5000,0.5217,0.8333,9,9,0.8889,0.8889,0.8889,0.8889,0.6667,0.7619,0.7500
H_S7CxtHgSM,Raiffeisen Bank International: Automated Integration of OnPremises Key Management with AWS KMS,True,Usable Evaluation,11,12,11,17,0.7778,0.8750,0.8235,0.4118,0.5833,0.4828,1.0000,,,,,,,,,
0F7KDLz-kIQ,"Zigbang: A Hybrid API of Serverless and ECS, Infra as a Code via CDK",True,Usable Evaluation,13,28,12,20,0.8182,0.8182,0.8182,0.4500,0.3214,0.3750,0.0000,14,17,0.8333,0.9091,0.8696,0.8235,0.5000,0.6222,0.0000
JiWHomdh1oI,Datacoral: Using Serverless to Create Data Pipelines,True,Usable Evaluation,7,11,7,11,0.8000,0.8000,0.8000,0.7273,0.7273,0.7273,0.6250,,,,,,,,,
