video_id,title,category,gen_nodes,gt_nodes,svc_precision,svc_recall,svc_f1,gen_edges,gt_edges,edge_precision,edge_recall,edge_f1,is_zero_edge_gt
-3lnf5lzsH0,MakeMyTrip: Building Next Generation SOC,data_ingestion,12,13,100.0,91.67,95.65,12,16,75.0,56.25,64.29,False
-ahWdCysMYw,Summit Technology Group: Building a Data Consumption Model for Multi-Tenant Applications,interactive,7,8,85.71,75.0,80.0,5,9,40.0,22.22,28.57,False
-kA0ahrhX3I,Oportun: Increasing the Accuracy of SensitiveData Discovery Using Amazon Macie,data_ingestion,11,9,71.43,71.43,71.43,5,8,60.0,37.5,46.15,False
-S-R7MWRpaI,mimik: Hybrid Edge Cloud Leveraging AWS to Support Edge Microservice Mesh,"data_ingestion,interactive",10,8,62.5,71.43,66.67,9,11,33.33,27.27,30.0,False
-wLEkq21cvA,Versent: The Migration Factory,control,11,9,57.14,80.0,66.67,11,10,45.45,50.0,47.62,False
07lfvavMdfU,Levels Beyond: Digital Content Orchestration,data_ingestion,10,10,90.0,90.0,90.0,11,14,81.82,64.29,72.0,False
0F7KDLz-kIQ,"Zigbang: A Hybrid API of Serverless and ECS, Infra as a Code via CDK",interactive,15,13,76.92,90.91,83.33,17,28,76.47,46.43,57.78,False
0gNMEyei-co,Infor: Ingest and Analyze Millions of Application Events Daily for Compliance Violations,data_ingestion,9,9,77.78,77.78,77.78,11,13,81.82,69.23,75.0,False
0JxJpNjI9Y0,The Washington Post: Building a Content Management Platform with Speed at its Core,interactive,10,9,75.0,85.71,80.0,10,17,70.0,41.18,51.85,False
0wnNlOg42dc,Spyne.AI: High-Quality Product Visuals at Scale with AI on AWS,compute_intensive,9,8,88.89,100.0,94.12,9,12,88.89,66.67,76.19,False
1aYoIZvabbk,OLX Autos: Building Developer Platform for Rapid Global Expansion,control,7,6,85.71,100.0,92.31,7,5,57.14,80.0,66.67,False
1kWxymroGeE,OutSystems: Decomposing a Data Monolith for Scale and MultiTenancy,control,8,5,83.33,100.0,90.91,11,4,36.36,100.0,53.33,False
1xLjtJnfZes,MATTR: Building Digital Trust at Scale,interactive,8,8,85.71,75.0,80.0,5,6,60.0,50.0,54.55,False
1ZLiRT0C2Yo,T-Mobile: Standardized Container-Based Architecture That can be Automatically Deployed Anywhere,control,7,6,85.71,100.0,92.31,6,0,0.0,0.0,0.0,True
2e3vOxsHekE,Mueller Water Products: A Water Intelligent Platform,data_ingestion,6,6,83.33,83.33,83.33,4,6,75.0,50.0,60.0,False
2f_NYiPJQt4,Appway: Securing Sensitive Banking Workflows with Isolated Architecture on AWS,control,11,10,90.91,100.0,95.24,6,9,50.0,33.33,40.0,False
2L0m28ZLmtE,Sanofi with TeamWork: OnDemand Data Science Environment,compute_intensive,14,13,92.31,100.0,96.0,12,11,83.33,90.91,86.96,False
2XVgpMwY5iE,Keen Eye: Building Deep Learning Models for Digital Pathology Image Analysis,data_ingestion,8,7,71.43,71.43,71.43,9,12,55.56,41.67,47.62,False
37T7Nd8pL-c,Docebo: How to Create Compelling e-Learning Videos from Documents via AI ML Services,control,7,8,85.71,85.71,85.71,8,12,50.0,33.33,40.0,False
3WgTBTDlQN8,FanFight: Building a Realtime Fantasy League Gaming Platform on AWS,"data_ingestion,interactive",9,9,66.67,66.67,66.67,9,14,55.56,35.71,43.48,False
3yJZ6rPoZfg,Hexagon HxDR: Cloud-Based Visualization of Spatial Data,compute_intensive,8,7,50.0,50.0,50.0,8,9,25.0,22.22,23.53,False
4-teOQ_dJvY,SBB Cargo: Data Collection and Processing with Serverless Analytics Services,data_ingestion,9,9,57.14,57.14,57.14,9,13,33.33,23.08,27.27,False
4WjXH8Wp0E4,Kainos: Kainos Advances Patient Care with Next Generation Interoperability Platform,"data_ingestion,interactive",13,14,100.0,80.0,88.89,12,22,83.33,45.45,58.82,False
53sUjFv9ByI,Neumora Therapeutics: Enabling DNA and RNA Data Insight for Rapid Genomics Sequencing Drug Discovery,data_ingestion,7,6,71.43,83.33,76.92,6,6,66.67,66.67,66.67,False
5CwIt-Alqhg,Accenture: Building a Blockchain Circular Supply Chain,data_ingestion,11,11,90.91,90.91,90.91,10,12,90.0,75.0,81.82,False
5EmA67lSJEs,Extreme Reach: The AdBridge Platform on AWS Handles 80%+ of all Commercials in the US,"compute_intensive,interactive",10,11,87.5,87.5,87.5,12,20,66.67,40.0,50.0,False
5f3z1Z_9BJA,Capgemini: Refactoring a Data Warehouse to Amazon Redshift,data_ingestion,11,11,85.71,85.71,85.71,13,17,92.31,70.59,80.0,False
5vR5aN_xdI0,Splunk: Data at Scale by Decoupling Compute and Storage LIVE,data_ingestion,9,9,100.0,85.71,92.31,4,10,50.0,20.0,28.57,False
62E9ggjGS8I,DISH Network: Building a Self-Service Portal to Create Multiple Accounts at Scale,other,7,7,83.33,83.33,83.33,4,9,50.0,22.22,30.77,False
66fPHLmvikk,ContentWise: How we Use Amazon SageMaker in Production Italian,control,11,7,83.33,83.33,83.33,12,8,50.0,75.0,60.0,False
6CgqEzyWpeA,SundaySky: Create Personalized Videos in Real Time on GPU-based Spot Instances for Video Rendering,"compute_intensive,interactive",12,12,88.89,88.89,88.89,16,19,62.5,52.63,57.14,False
6EUknQqaV1w,CloudHealth by VMware: Secure State. Manages Over 50M Assets from Billions of Events on AWS,data_ingestion,8,9,100.0,85.71,92.31,11,11,81.82,81.82,81.82,False
6iK4WNj6QqI,Ticketmaster: Active-Active Multi-Region Checkout for Ticket Purchases,interactive,7,6,85.71,100.0,92.31,8,10,37.5,30.0,33.33,False
6LcSv9XocTY,Intuit: Serving 7 Million Customers Using Amazon Connect,"data_ingestion,interactive",10,11,87.5,77.78,82.35,8,18,75.0,33.33,46.15,False
6sew_hdI6cY,Triboo: Hosting Magento on Containers Italian,other,14,15,100.0,92.31,96.0,10,18,100.0,55.56,71.43,False
6sY0AunanlM,"NGINX: Deploy and Scale Applications with Ease Using AWS EKS, ECS and the NGINX Ingress Controller",control,8,4,66.67,100.0,80.0,8,0,0.0,0.0,0.0,True
6YkguepAQuQ,Aetion: Deploy Applications  Provision Cloud Resources with AWS Developer Tools,control,10,10,100.0,100.0,100.0,4,10,75.0,30.0,42.86,False
7dtomip_VXc,Akatsuki: Building Stable and Scalable Large Scale Game Servers with Amazon ECS (Japanese),interactive,8,8,100.0,100.0,100.0,6,11,100.0,54.55,70.59,False
7LziNjUTo7w,IHS Markit: Virtual Instructor-Led Trainings with IHS Markit (now part of S&P Global),interactive,9,9,88.89,100.0,94.12,9,16,77.78,43.75,56.0,False
7V8wTCkjOqo,NAB: Automating Cloud Governance at the National Australia Bank,other,8,7,71.43,83.33,76.92,3,7,33.33,14.29,20.0,False
7wBOFcP1HwA,Seera Group: Transforming Online Travel Booking with Microservices (Arabic),interactive,11,10,70.0,77.78,73.68,10,10,40.0,40.0,40.0,False
8s0wGRkiDrw,Mobilewalla: S3 Access Monitoring Using ML,data_ingestion,8,5,75.0,75.0,75.0,7,4,28.57,50.0,36.36,False
8TExnSvZqt0,AxiomSL's RegCloud®️: Secure & Scalable Risk & Regulatory Reporting on AWS,other,11,11,81.82,81.82,81.82,4,0,0.0,0.0,0.0,True
8ZRWzn0G39g,Replicon: MultiTenant SaaS Solution with Bring Your Own Key BYOK Encryption for Enterprises,interactive,10,12,62.5,55.56,58.82,9,38,33.33,7.89,12.77,False
